Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C25, C26, C3",0805,5,1uF,
"C10, C12, C13, C15, C16, C18, C19, C21, C22, C24, C27, C29, C4, C6, C7, C9",0805,16,0.1uF,
"C11, C14, C17, C20, C23, C28, C5, C8",0805,8,0.15uF,
"D1, D13, D17, D21, D25, D27, D31, D5, D9",0805,9,Green,
"D10, D11, D12, D14, D15, D16, D18, D19, D2, D20, D22, D23, D24, D28, D29, D3, D30, D32, D33, D34, D4, D6, D7, D8",0805,24,1N448W,
J1,LeaderSOM,1,~,
J10,Molex_Micro-Fit_3.0_43650-0315_1x03_P3.00mm_Vertical,1,Fan2,
J11,Molex_Micro-Fit_3.0_43650-0315_1x03_P3.00mm_Vertical,1,Fan3,
J12,Molex_Micro-Fit_3.0_43650-0315_1x03_P3.00mm_Vertical,1,Fan4,
J13,Molex_Micro-Fit_3.0_43650-0415_1x04_P3.00mm_Vertical,1,HV+ Connector,
J14,Molex_Micro-Fit_3.0_43650-0415_1x04_P3.00mm_Vertical,1,HV- Connector,
J15,Molex_Micro-Fit_3.0_43650-0415_1x04_P3.00mm_Vertical,1,Array Connector,
J17,Molex_Micro-Fit_3.0_43650-0315_1x03_P3.00mm_Vertical,1,Fan5,
J18,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,1,Strobe_Conn,
J19,PinHeader_2x04_P2.54mm_Vertical,1,ADC SPI,
J2,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,1,CarPowerConnector,
"J20, J4",PinHeader_2x04_P2.54mm_Vertical,2,Fan I2C,
J21,Molex_Micro-Fit_3.0_43650-0415_1x04_P3.00mm_Vertical,1,Segment1 Connector,
J22,Molex_Micro-Fit_3.0_43650-0415_1x04_P3.00mm_Vertical,1,Segment2 Connector,
J3,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,1,CANconn,
J5,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,1,CANconn2,
J6,Molex_Micro-Fit_3.0_43650-0415_1x04_P3.00mm_Vertical,1,I-CanConn,
J8,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,1,E-STOP,
J9,Molex_Micro-Fit_3.0_43650-0315_1x03_P3.00mm_Vertical,1,Fan1,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,E-Stop Bypass,
"Q1, Q10, Q11, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,11,IRLML0030,
"R1, R10, R12, R19, R26, R33, R40, R47, R50, R57, R58, R59, R60, R61, R63, R65, R8",0805,17,100k,
"R11, R14, R21, R28, R3, R35, R42, R49, R52, R67, R9",0805,11,1k,
"R13, R2, R20, R27, R34, R41, R48, R51, R66",0805,9,10k,
"R15, R22, R29, R36, R4, R43, R53, R68",2512,8,2.8m,
"R16, R17, R23, R24, R30, R31, R37, R38, R44, R45, R5, R54, R55, R6, R69, R70",0805,16,10,
"R18, R25, R32, R39, R46, R56, R7, R71",0805,8,1,
R62,0805,1,33k,
R64,0805,1,15k,
U10,QFN16_4x4MC_MCH,1,EMC2305-1-AP-TR,
"U11, U3, U4, U5, U6, U7, U8, U9",SOT-23-5(movedsilk),8,INA180A2,
U2,WQFN16_RTE_TEX,1,TLA2518IRTER,
