Designator,Mid X,Mid Y,Rotation,Layer
C1,161.875,-96.050001,270.0,top
C10,170.836,-120.368,0.0,top
C11,166.838,-126.972,0.0,top
C12,170.836,-122.4,0.0,top
C13,170.85,-101.368,0.0,top
C14,166.852,-107.972,0.0,top
C15,170.85,-103.4,0.0,top
C16,141.55,-75.29,270.0,top
C17,134.8815,-71.282,270.0,top
C18,139.518,-75.29,270.0,top
C19,141.456,-88.362,270.0,top
C2,163.875,-96.050001,90.0,top
C20,134.852,-84.364,270.0,top
C21,139.49,-88.36,270.0,top
C22,141.456,-107.1515,270.0,top
C23,134.852,-103.1535,270.0,top
C24,139.424,-107.1515,270.0,top
C25,156.0,-77.023999,270.0,top
C26,158.1,-77.023999,270.0,top
C27,141.456,-123.148,270.0,top
C28,134.852,-119.15,270.0,top
C29,139.424,-123.148,270.0,top
C3,165.875,-96.050001,270.0,top
C4,141.456,-139.064,270.0,top
C5,134.852,-135.066,270.0,top
C6,139.424,-139.064,270.0,top
C7,170.8315,-139.368,0.0,top
C8,166.8335,-145.972,0.0,top
C9,170.8315,-141.4,0.0,top
D1,125.2,-138.556,90.0,top
D10,166.772,-134.592,0.0,top
D11,168.042,-120.622,90.0,top
D12,166.01,-120.622,90.0,top
D13,170.342,-117.624,180.0,top
D14,166.786,-115.592,0.0,top
D15,168.056,-101.622,90.0,top
D16,166.024,-101.622,90.0,top
D17,125.2295,-74.772,90.0,top
D18,127.2615,-71.216,270.0,top
D19,141.2315,-72.486,0.0,top
D2,127.232,-135.0,270.0,top
D20,141.2315,-70.454,0.0,top
D21,125.2,-87.854,90.0,top
D22,127.232,-84.298,270.0,top
D23,141.202,-85.568,0.0,top
D24,141.202,-83.536,0.0,top
D25,125.8,-153.2,270.0,top
D27,125.2,-106.6435,90.0,top
D28,127.232,-103.0875,270.0,top
D29,141.202,-104.3575,0.0,top
D3,141.202,-136.27,0.0,top
D30,141.202,-102.3255,0.0,top
D31,125.2,-122.64,90.0,top
D32,127.232,-119.084,270.0,top
D33,141.202,-120.354,0.0,top
D34,141.202,-118.322,0.0,top
D4,141.202,-134.238,0.0,top
D5,170.3235,-155.624,180.0,top
D6,166.7675,-153.592,0.0,top
D7,168.0375,-139.622,90.0,top
D8,166.0055,-139.622,90.0,top
D9,170.328,-136.624,180.0,top
J1,158.45,-69.0,270.0,top
J10,119.5675,-89.2,90.0,top
J11,119.5925,-105.2,90.0,top
J12,119.5925,-121.2,90.0,top
J13,177.1925,-148.3,270.0,top
J14,177.1925,-129.3,270.0,top
J15,177.1925,-110.3,270.0,top
J17,119.5925,-137.2,90.0,top
J18,119.5925,-151.6,90.0,top
J19,156.27,-128.13,180.0,top
J2,130.0,-61.5075,0.0,top
J20,156.27,-116.81,180.0,top
J21,144.7,-161.8325,180.0,top
J22,163.5,-161.5925,180.0,top
J3,129.9,-42.1675,0.0,top
J4,156.27,-105.47,0.0,top
J5,129.9,-50.2075,0.0,top
J6,119.6075,-56.3,90.0,top
J8,130.1,-161.8325,180.0,top
J9,119.6075,-73.2,90.0,top
JP1,132.73,-153.8,270.0,top
Q1,128.248,-138.556,0.0,top
Q10,128.248,-106.6435,0.0,top
Q11,128.248,-122.64,0.0,top
Q2,148.497,-155.05,0.0,top
Q3,159.4,-154.9,180.0,top
Q4,170.3235,-152.576,90.0,top
Q5,170.328,-133.576,90.0,top
Q6,170.342,-114.576,90.0,top
Q7,128.2775,-74.772,0.0,top
Q8,128.248,-87.854,0.0,top
Q9,126.7,-149.5875,0.0,top
R1,133.328,-138.81,90.0,top
R10,155.7125,-156.0,0.0,top
R11,155.7125,-154.0,0.0,top
R12,170.5775,-147.496,180.0,top
R13,166.7675,-155.624,0.0,top
R14,170.5775,-149.528,180.0,top
R15,168.65,-150.85,180.0,bottom
R16,165.7515,-148.766,90.0,top
R17,167.7835,-148.766,90.0,top
R18,170.0695,-144.194,90.0,top
R19,170.582,-128.496,180.0,top
R2,125.2,-135.0,270.0,top
R20,166.772,-136.624,0.0,top
R21,170.582,-130.528,180.0,top
R22,168.6625,-131.85,180.0,bottom
R23,165.756,-129.766,90.0,top
R24,167.788,-129.766,90.0,top
R25,170.074,-125.194,90.0,top
R26,170.596,-109.496,180.0,top
R27,166.786,-117.624,0.0,top
R28,170.596,-111.528,180.0,top
R29,168.6625,-112.85,180.0,bottom
R3,131.296,-138.81,90.0,top
R30,165.77,-110.766,90.0,top
R31,167.802,-110.766,90.0,top
R32,170.088,-106.194,90.0,top
R33,133.3575,-75.026,90.0,top
R34,125.2295,-71.216,270.0,top
R35,131.3255,-75.026,90.0,top
R36,130.0,-73.1,270.0,bottom
R37,132.0875,-70.2,0.0,top
R38,132.0875,-72.232,0.0,top
R39,136.8,-74.6,0.0,top
R4,129.95,-136.9,270.0,bottom
